question_id,Question,Relevant Channel,question_type,Option 1,O1_PW1_Awareness,O1_PW2_Credibility,O1_PW3_Communication,O1_PW4_Retention,O1_PW5_Engagement,O1_PW6_Strategy,Option 2,O2_PW1_Awareness,O2_PW2_Credibility,O2_PW3_Communication,O2_PW4_Retention,O2_PW5_Engagement,O2_PW6_Strategy,Option 3,O3_PW1_Awareness,O3_PW2_Credibility,O3_PW3_Communication,O3_PW4_Retention,O3_PW5_Engagement,O3_PW6_Strategy,Option 4,O4_PW1_Awareness,O4_PW2_Credibility,O4_PW3_Communication,O4_PW4_Retention,O4_PW5_Engagement,O4_PW6_Strategy
13,How do you use storytelling in your social media content?,Social Media,Singular,We don’t use storytelling — our posts are mostly announcements.,-1,-1,-2,0,-2,-1,We occasionally share behind-the-scenes or longer captions.,0,0,-1,0,-1,0,We use storytelling elements like customer journeys or brand values.,1,1,1,1,1,1,"Storytelling is central to our content, creating emotional connection.",2,2,2,2,2,2
14,How intentional are you about content that supports customer retention?,"Email List, Social Media",Combination Specific,We focus mostly on acquiring new followers/customers.,0,0,0,-2,-1,-1,We occasionally share loyalty content but it’s not consistent.,0,0,0,-1,0,0,"We post retention content like tips, updates, or user spotlights.",1,1,1,1,1,1,"We have a retention-focused content plan with series, rewards, and personalization.",1,2,2,2,2,2
15,How well does your content reflect the needs and interests of your target audience?,"Email List, Paid Ads, Social Media, Website",Combination Specific,"We mostly post what we want to say, not what our audience wants.",-1,-1,-2,-1,-2,-2,"We have a general idea of what our audience likes, but no data to guide us.",0,0,-1,0,-1,-1,We use some data and feedback to guide content decisions.,1,1,1,1,1,1,"Content is deeply audience-informed via analytics, surveys, and testing.",2,2,2,2,2,2
16,How well does your website communicate your core value proposition to a first-time visitor?,Website,Singular, It's not clear what we offer or who it's for.,-2,-1,-2,0,0,0,It's somewhat clear but could be more concise or visually emphasized.,-1,0,-1,0,0,0,"Our value proposition is visible and clear, though may not grab attention immediately.",1,1,1,0,0,0,Visitors immediately understand what we do and why it matters.,2,2,2,0,0,0
17,How well does your website convert visitors into leads or customers?,Website,Singular,We don’t track conversions or have no clear paths to conversion,0,-1,-1,-2,-1,-2,"We have some calls to action, but few conversions ",0,0,0,-1,0,-1,Conversion paths exist and perform decently,0,1,1,1,1,1,We actively optimize conversion funnels with strong CTAs and data insights,0,2,2,2,2,2
18,"How well is your website optimized for user experience (navigation, load speed, mobile-friendliness)?",Website,Singular,"It's slow, hard to navigate, or not mobile-friendly ",0,-2,-1,0,-2,-1,"It works, but some areas are clunky or inconsistent",0,-1,0,-1,-1,0,It’s generally smooth and mobile-friendly,0,1,1,1,1,0,"It’s intuitive, fast, and optimized across all devices",0,2,2,2,2,0
19,Does your website support your customer service or self-service needs?,Website,Singular,No — customers must contact us for any help,0,-1,-2,-2,-1,-1,There’s basic help info but it’s limited,0,0,-1,-1,0,0,"Includes a help page, FAQ, or contact options",0,1,1,1,0,1,"Full support resources like live chat, help center, or knowledge base",0,2,2,2,2,2
20,What types of content formats do you use on social media?,Social Media,Singular,Mostly static posts or text updates,-1,0,-1,-2,-2,-1,Mix of posts and stories,0,0,0,0,0,0,"We use video, carousels, stories, and lives",1,1,1,1,1,1,We use a diverse content mix optimized for each platform and algorithm ,2,2,2,2,2,2
21,"Does your website include trust-building elements (e.g., testimonials, case studies, certifications, guarantees)?",Website,Singular,None at all. We haven't included trust elements. ,0,-2,-1,0,0,0,"One or two basic elements, like a testimonial.",0,1,0,0,0,0,We include a few forms of social proof or credentials.,0,1,0,0,0,1,Multiple strong forms of trust signals are woven throughout the site.,0,2,0,0,0,2
22,How often do you send emails to your list?,Email List,Singular,We haven’t emailed them in months — maybe longer.,0,-2,-2,-2,-2,-1,We send emails sporadically when we have something to promote.,0,-1,-1,-1,-1,-1,We have a regular schedule and provide a mix of content and offers.,0,1,1,1,1,1,We have a well-structured content calendar with tested timing and cadence.,0,2,2,2,2,2
23,How do people typically join your email list?,Email List,Singular,We don’t really have a system—people join randomly or are added manually.,-2,-1,0,0,-1,-2,"Mostly through a generic opt-in form on our site, without any incentive.",-1,0,0,0,0,-1,"Through targeted opt-ins tied to content or offers (e.g., lead magnets).",1,1,0,0,1,1,"Through optimized, multi-touch campaigns with specific acquisition funnels.",2,2,0,1,2,2
24,How well do you segment your email list?,Email List,Singular,We don’t segment our list at all—everyone gets the same emails.,0,-1,-2,0,-2,-1,"We segment by basic demographics or user type (e.g., new vs. existing).",0,0,-1,1,-1,0,"We use behavior-based segmentation (e.g., click history, product interest).",0,1,1,1,1,1,"We use dynamic segmentation, tagging, and automations for real-time personalization.",0,2,2,2,2,2
25,How do you handle unsubscribes and inactive subscribers?,Email List,Singular,We don’t monitor or clean the list.,0,-2,0,-2,-1,-2,We occasionally clean the list manually.,0,-1,0,-1,0,-2,We regularly remove inactives and monitor unsubscribe trends.,0,1,0,1,1,1,We have automated list hygiene protocols and re-engagement campaigns.,0,2,0,2,2,2
26,How does email fit into your broader marketing strategy?,Email List,Singular,We use email in isolation with no connection to other goals.,-1,0,0,-1,0,-2,Email is used to support promotions but not tied to a strategy.,0,0,0,0,0,-1,Email supports specific campaigns and sales goals.,1,1,1,1,1,1,"Email is a key component in a multi-touch, long-term marketing strategy.",2,2,1,2,2,2
27,What best describes your ad creative testing process?,Paid Ads,Singular,We rarely test creatives — it’s mostly guesswork ,-1,0,-2,0,-1,-2,We test occasionally but without a structured process,0,0,-1,0,0,-1,We routinely A/B test headlines and visuals ,1,1,1,0,1,1,"We run continuous, data-informed tests across all elements and optimize based on clear KPIs",2,2,2,0,2,2
28,How well does your advertising build trust with your target audience?,Paid Ads,Singular,Our ads make big claims without social proof or transparency ,0,0,-2,0,-1,-2,"We use persuasive language, but little validation or trust elements ",1,-1,-1,0,0,0,Our ads include testimonials or brand credentials ,1,1,1,0,1,0,"We consistently integrate trust-building elements like guarantees, case studies, and credibility markers",1,2,2,0,1,0
29,How aligned are your ad offers with what your audience actually wants?,Paid Ads,Singular,We mostly guess what offers will work,-1,0,-1,-1,-2,-2,We base offers on trends or competitors,0,0,0,0,-1,-1,We use audience feedback and past performance to guide offers ,1,1,1,0,1,1,"Our offers are validated through data, regularly refreshed, and drive high click and conversion rates",1,2,2,1,2,2
30,How well do your paid ads integrate with your overall marketing funnel?,Paid Ads,Singular,Our ads exist in isolation with no connection to a broader funnel,0,0,0,-2,-1,-2,"Ads lead to landing pages, but there’s little follow-up",0,0,0,-1,0,-1,Ads are designed to guide users into a conversion path,1,1,1,0,1,1,Our ad strategy is deeply integrated into a multistep funnel that nurtures leads and drives lifetime value,1,2,2,2,2,2
31,How often do returning customers or leads re-engage with your paid ads?,Paid Ads,Singular,We have no way of tracking or encouraging re-engagement,0,0,0,-2,-2,-1,"Some returning users engage, but not by design",0,0,0,-2,-1,-1,We run occasional retargeting or loyalty ads,0,0,1,1,1,1,We have a dedicated re-engagement strategy with dynamic retargeting and loyalty incentives,0,1,2,2,2,2
32,How do you typically promote your events or webinars?,Events/Webinars,Singular,We mostly rely on word-of-mouth or last-minute promotions.,-2,-1,-1,0,0,-2,"We share our events on a few internal channels, but promotion is inconsistent.",-1,0,0,0,0,-1,We have a solid promotion plan using email and social media weeks in advance.,1,1,1,0,0,1,"We follow a strategic, multi-channel campaign with audience segmentation and timelines.",2,2,2,0,0,2
33,How do you determine the topics or themes for your events?,Events/Webinars,Singular,We decide based on what we think is interesting — without audience input.,-1,-1,-1,0,-2,-2,"We sometimes consider feedback, but it’s mostly guesswork.",0,0,0,0,-1,-1,We use past event feedback or industry trends to guide us.,1,1,1,0,1,1,"We actively research, survey our audience, and test topics before planning.",2,2,2,0,2,2
34,How strong is your follow-up process after an event?,Events/Webinars,Singular,We don’t follow up at all after events.,0,-2,-2,-2,-1,-1,"We send one generic thank-you email, but nothing more.",0,-1,-1,-1,0,-1,We send personalized follow-up emails and links to replays or resources.,0,1,1,1,1,0,"We use segmentation to deliver targeted follow-ups, CTAs, and nurture sequences.",0,2,2,2,2,1
35,How do you capture leads during your events?,Events/Webinars,Singular,We don’t have any lead capture process.,-2,-1,0,-2,0,-2,"We collect names and emails, but rarely use the data.",-1,0,0,-1,0,-1,We gather detailed attendee info and add it to our CRM or email list.,1,1,0,1,0,1,"We have automated lead capture with tagging, scoring, and workflows.",2,2,1,2,0,2
36,Do you feature external experts or partners in your events to boost credibility?,Events/Webinars,Singular,"No, we only use internal speakers or team members.",0,-2,-1,0,-1,-1,"We occasionally invite guests, but it's not part of a strategy.",0,-1,0,0,0,0,We bring in experts to co-host or contribute to key sessions.,1,1,1,0,1,1,"We strategically co-host events with influencers, partners, or top-tier experts to elevate our brand.",2,2,1,0,2,2
37,How consistently do your referral partners send new leads your way?,Partnership/Referral,Singular,Rarely — most partnerships are inactive.,-2,0,0,0,-1,-1,Occasionally — we receive leads inconsistently.,-1,0,0,0,0,0,Often — a few partners reliably send us leads.,1,0,0,0,1,1,Regularly — most partners actively send qualified leads.,2,0,0,0,2,2
38,How do you incentivize or reward your referral partners?,Partnership/Referral,Singular,We don’t have any reward or incentive structure in place.,0,0,0,-2,-1,-1,We occasionally offer informal rewards or gifts.,0,0,0,-1,0,0,"We have a clear system in place, but it’s underutilized.",0,0,0,1,1,1,"We offer strong, consistent rewards that keep partners motivated.",0,0,0,2,2,2
39,How frequently do you communicate with your referral partners?,Partnership/Referral,Singular,Rarely — we haven’t reached out in a while.,0,0,-2,-1,-1,0,Occasionally — only when there’s a reason.,0,0,-1,0,0,0,Monthly or quarterly — with helpful updates.,0,0,1,1,1,0,"Frequently — we stay top of mind with engaging, two-way communication.",0,0,2,2,2,0
40,How trackable are the results of your referral efforts?,Partnership/Referral,Singular,We don’t track referral sources or performance at all.,-1,-1,0,0,0,-2,"We have some visibility, but it’s inconsistent.",0,0,0,0,0,-1,We track most referrals and review outcomes periodically.,1,1,0,0,0,1,"We rigorously track, analyze, and optimize referral performance.",2,2,0,0,0,2
41,How do you stay top-of-mind with your partners in-between referrals?,Partnership/Referral,Singular,We don’t — they often forget about us.,0,0,-2,-1,-2,0,"We occasionally check in, but it’s sporadic.",0,0,-1,0,-1,0,We send regular updates and touchpoints.,0,0,1,1,1,0,"We actively build relationships with valuable, consistent outreach.",0,0,2,2,2,0
42,How well do your social media profiles drive traffic to your website?,"Social Media, Website",Combination Specific,We rarely include website links on our social posts.,-2,0,-1,0,-1,-1,"We sometimes link to our homepage or blog, but not consistently.",-1,0,0,0,0,0,We regularly link to relevant website pages in posts and stories.,1,1,1,0,1,1,"We use strategic link placement, UTM tracking, and optimize content to drive high-converting traffic to targeted pages.",2,1,2,0,1,2
43,How do you capture leads or inquiries through your website and social media?,"Social Media, Website",Combination Specific,"We don't have any forms, lead magnets, or inquiry CTAs.",0,-1,-1,-2,-1,-2,"We have a basic contact form, but it's not actively promoted.",0,0,0,-1,0,-1,"We offer a lead magnet or gated content, promoted via posts and on our site.",1,1,1,1,1,1,"We run cross-channel lead generation campaigns with optimized landing pages, forms, and track conversions.",2,2,2,2,2,2
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
